"CC_TRANSACTION_NUM_PK","CC_TRANSACTION_CHAR_PK","CC_TRANSACTION_CDATE","CREDITCARD_NUM","TRANSACTION_DATE","TRANSACTION_TYPE","TRANSACTION_AMOUNT"
1,"4240019A253C5836E055000000000001",26-NOV-16 18:22:25,"5173998431509738",01-OCT-16 07.01.46.451000000 AM,"Authorization with Auto Capture",82.14
2,"4240019A253D5836E055000000000001",26-NOV-16 18:22:25,"4903761621728181",15-OCT-16 07.59.01.566000000 AM,"Authorization with Auto Capture",2440.77
3,"4240019A253E5836E055000000000001",26-NOV-16 18:22:25,"6205301726559066",03-NOV-16 08.27.10.845000000 AM,"Authorization Only",55.49
4,"4240019A253F5836E055000000000001",26-NOV-16 18:22:25,"5018035531443164",14-OCT-16 06.21.43.859000000 PM,"Authorization with Auto Capture",47.8
5,"4240019A25405836E055000000000001",26-NOV-16 18:22:25,"4903564246427081",11-NOV-16 09.42.06.922000000 PM,"Authorization with Auto Capture",50.26
6,"4240019A25415836E055000000000001",26-NOV-16 18:22:25,"3413331472457",23-OCT-16 09.11.26.255000000 AM,"Authorization Only",108.56
7,"4240019A25425836E055000000000001",26-NOV-16 18:22:25,"201418235446108",15-NOV-16 05.47.51.380000000 PM,"Authorization Only",74.63
8,"4240019A25435836E055000000000001",26-NOV-16 18:22:25,"4613852587262746",21-NOV-16 07.32.48.971000000 PM,"Authorization with Auto Capture",133.21
9,"4240019A25445836E055000000000001",26-NOV-16 18:22:25,"4026542868865042",11-NOV-16 05.43.20.358000000 AM,"Authorization with Auto Capture",115.1
10,"4240019A25455836E055000000000001",26-NOV-16 18:22:25,"5456489646676149",21-NOV-16 12.47.39.690000000 PM,"Authorization with Auto Capture",56.85
11,"4240019A25465836E055000000000001",26-NOV-16 18:22:25,"345285184350212",18-OCT-16 02.27.14.970000000 PM,"Authorization with Auto Capture",86.74
12,"4240019A25475836E055000000000001",26-NOV-16 18:22:25,"201475908483172",02-OCT-16 02.49.55.279000000 PM,"Authorization with Auto Capture",481.15
13,"4240019A25485836E055000000000001",26-NOV-16 18:22:25,"6281490754747024",18-OCT-16 05.44.21.409000000 PM,"Authorization with Auto Capture",42.62
14,"4240019A25495836E055000000000001",26-NOV-16 18:22:25,"201484822301569",20-NOV-16 03.21.15.382000000 PM,"Authorization with Auto Capture",170.64
15,"4240019A254A5836E055000000000001",26-NOV-16 18:22:25,"36853536163373",07-OCT-16 06.03.37.563000000 AM,"Authorization with Auto Capture",95.6
16,"4240019A254B5836E055000000000001",26-NOV-16 18:22:25,"6304857718435576",25-OCT-16 01.19.51.651000000 PM,"Authorization with Auto Capture",194.36
17,"4240019A254C5836E055000000000001",26-NOV-16 18:22:25,"77285566886444716215",12-OCT-16 08.31.06.703000000 PM,"Authorization Only",76.48
18,"4240019A254D5836E055000000000001",26-NOV-16 18:22:25,"6243787364134229",15-NOV-16 03.01.04.784000000 PM,"Authorization with Auto Capture",83.2
19,"4240019A254E5836E055000000000001",26-NOV-16 18:22:25,"4485239610674712",10-NOV-16 04.25.18.923000000 AM,"Authorization with Auto Capture",1337.01
20,"4240019A254F5836E055000000000001",26-NOV-16 18:22:25,"3528241479822111",18-OCT-16 05.54.15.664000000 AM,"Authorization Only",148.02
21,"4240019A25505836E055000000000001",26-NOV-16 18:22:25,"3528924111340104",20-NOV-16 03.59.17.894000000 PM,"Authorization with Auto Capture",27.34
22,"4240019A25515836E055000000000001",26-NOV-16 18:22:25,"3528512412184570",08-NOV-16 02.09.23.931000000 PM,"Authorization with Auto Capture",90.49
23,"4240019A25525836E055000000000001",26-NOV-16 18:22:25,"4026105471206361",16-NOV-16 07.15.04.756000000 AM,"Authorization Only",130.39
24,"4240019A25535836E055000000000001",26-NOV-16 18:22:25,"6304648185134157",03-NOV-16 02.17.15.834000000 PM,"Authorization with Auto Capture",143.13
25,"4240019A25545836E055000000000001",26-NOV-16 18:22:25,"6011285683608130",16-OCT-16 02.57.28.630000000 AM,"Authorization with Auto Capture",78.58
26,"4240019A25555836E055000000000001",26-NOV-16 18:22:25,"36328513772942",25-OCT-16 09.37.36.986000000 AM,"Authorization with Auto Capture",307.54
27,"4240019A25565836E055000000000001",26-NOV-16 18:22:25,"6304571184163166",19-OCT-16 12.43.03.882000000 AM,"Authorization Only",58.7
28,"4240019A25575836E055000000000001",26-NOV-16 18:22:25,"3528741698437909",24-OCT-16 10.09.57.184000000 PM,"Authorization with Auto Capture",192.65
29,"4240019A25585836E055000000000001",26-NOV-16 18:22:25,"4026715455373804",01-OCT-16 12.21.40.859000000 AM,"Authorization with Auto Capture",107.65
30,"4240019A25595836E055000000000001",26-NOV-16 18:22:25,"348479887120630",09-NOV-16 06.39.45.191000000 AM,"Authorization with Auto Capture",90.39
31,"4240019A255A5836E055000000000001",26-NOV-16 18:22:25,"6011316055489352",12-OCT-16 06.40.32.780000000 AM,"Authorization Only",159.46
32,"4240019A255B5836E055000000000001",26-NOV-16 18:22:25,"36726186280305",14-NOV-16 11.24.36.230000000 AM,"Authorization with Auto Capture",134.5
33,"4240019A255C5836E055000000000001",26-NOV-16 18:22:25,"4903289747478269",17-OCT-16 04.46.26.480000000 PM,"Authorization with Auto Capture",1199.76
34,"4240019A255D5836E055000000000001",26-NOV-16 18:22:25,"36697862360112",05-OCT-16 07.19.25.109000000 PM,"Capture Only",70.82
